Picture,X_center,Y_center,Brightness,Contrast,FM,VerticalContrast,VerticalFM,HorizontalContrast,HorizontalFM,Outdoor
creek.jpg,0,0,0.000296789,0.00251999,0.00737691,0.030090236,4.470051839,0.02863763,4.388376931,1
creek.jpg,0,5,0.000297444,0.002424242,0.007285809,0.029487078,4.632404874,0.02737744,4.309720825,1
creek.jpg,0,10,0.000298456,0.002343818,0.007281986,0.028813505,4.650204111,0.027007283,4.564184395,1
creek.jpg,0,15,0.000299573,0.002273537,0.006889022,0.027727587,4.743502273,0.025935031,4.28674317,1
creek.jpg,0,20,0.000299844,0.002204167,0.007063621,0.026744174,4.801425734,0.024982932,4.600839256,1
creek.jpg,0,25,0.000299942,0.002140994,0.006993104,0.025781252,4.687116447,0.023982877,4.503503105,1
creek.jpg,0,30,0.000301052,0.002092895,0.007316405,0.02500136,4.925306612,0.023844518,4.496853245,1
creek.jpg,0,35,0.000301893,0.002047391,0.007005798,0.024073077,4.970099278,0.023131816,4.438083036,1
creek.jpg,0,40,0.000302666,0.002006882,0.007268123,0.023623524,5.001467902,0.022160614,4.380981762,1
creek.jpg,0,45,0.00030353,0.001973013,0.007629401,0.023428934,5.174295724,0.021727713,4.43748046,1
creek.jpg,0,50,0.000304581,0.00194483,0.007859758,0.023051569,5.095190458,0.021446245,4.654955153,1
creek.jpg,0,55,0.000305629,0.001920921,0.007561276,0.022333972,4.836297739,0.020934435,4.512785694,1
creek.jpg,0,60,0.000306726,0.00190171,0.00776929,0.021991611,4.831401303,0.020931179,4.557631088,1
creek.jpg,0,65,0.000307422,0.001883574,0.007684445,0.021695393,4.747145847,0.02062498,4.563123207,1
creek.jpg,0,70,0.000308163,0.001871341,0.008124669,0.021387936,4.862825282,0.021027858,4.847983904,1
creek.jpg,0,75,0.000308721,0.001866272,0.008646365,0.021389655,5.00812365,0.021575695,5.252910827,1
creek.jpg,0,80,0.00030891,0.001867851,0.008697431,0.021190809,5.02567996,0.021795213,5.12292976,1
creek.jpg,0,85,0.00031029,0.001878775,0.009105038,0.021368621,5.068433199,0.022828256,5.355962789,1
creek.jpg,0,90,0.000312069,0.001892032,0.009215155,0.021702979,5.185520017,0.023067824,5.477807448,1
creek.jpg,0,95,0.000313749,0.001902471,0.009076996,0.021483168,5.042990479,0.023372389,5.722955599,1
creek.jpg,0,100,0.000315266,0.00191329,0.00913969,0.021815799,5.061882128,0.02340836,5.930017916,1
creek.jpg,0,105,0.000316883,0.00192441,0.009106696,0.021795465,5.029843522,0.022949844,5.600474585,1
creek.jpg,0,110,0.000317819,0.001930365,0.00883677,0.021603665,5.014807691,0.022909801,5.473249579,1
creek.jpg,0,115,0.000317895,0.001932074,0.008827126,0.021186549,5.098857303,0.022571864,5.54244769,1
creek.jpg,0,120,0.000318543,0.001937174,0.008858175,0.020928022,5.176029941,0.022544895,5.660622241,1
creek.jpg,0,125,0.000320301,0.001950924,0.009044698,0.021129487,5.263887799,0.022693421,5.798964028,1
creek.jpg,0,130,0.000322591,0.001966715,0.009115425,0.021463186,5.37501605,0.023090449,5.938336167,1
creek.jpg,0,135,0.00032252,0.001969236,0.008834727,0.021418562,5.370048366,0.022748236,5.950699247,1
creek.jpg,0,140,0.000320764,0.001964815,0.008951371,0.021386078,5.459049578,0.022381216,5.824539454,1
creek.jpg,0,145,0.000318628,0.001957942,0.009078793,0.021425474,5.357212554,0.022785176,5.921884687,1
creek.jpg,0,150,0.000316068,0.001950557,0.009543195,0.021442249,5.407104779,0.023011107,6.150469235,1
creek.jpg,0,155,0.000314393,0.001945618,0.009617181,0.021433494,5.393637193,0.02369934,6.286642067,1
creek.jpg,0,160,0.000312649,0.001938202,0.009615621,0.021391449,5.393476805,0.024158689,6.479770445,1
creek.jpg,0,165,0.000310081,0.001925354,0.009816514,0.021233204,5.405949053,0.024177168,6.509667914,1
creek.jpg,0,170,0.000307132,0.001910414,0.009851225,0.021234089,5.324413939,0.024536887,6.512765696,1
creek.jpg,0,175,0.000303563,0.001890113,0.010040315,0.021289159,5.464197373,0.024537524,6.650922046,1
creek.jpg,0,180,0.000299437,0.001868038,0.01002865,0.021204331,5.376421298,0.024483294,6.66780415,1
creek.jpg,0,185,0.000294643,0.001842339,0.009901586,0.021043144,5.268312242,0.024495689,6.730175594,1
creek.jpg,0,190,0.000289659,0.001817042,0.00951873,0.021021419,5.172992129,0.024507516,6.649406448,1
creek.jpg,0,195,0.000284458,0.001791252,0.009203776,0.02098479,5.177889083,0.024426275,6.643360403,1
creek.jpg,0,200,0.000279404,0.001767405,0.0094369,0.021240093,5.33750134,0.025043157,6.986550921,1
creek.jpg,0,205,0.000273633,0.001737543,0.009410544,0.021070834,5.344714203,0.024832392,7.067760134,1
creek.jpg,0,210,0.000268752,0.0017118,0.009455174,0.021033033,5.378289578,0.024778872,6.988590581,1
creek.jpg,0,215,0.000264273,0.001688021,0.008987991,0.020975837,5.233795927,0.025357108,6.903899666,1
creek.jpg,0,220,0.000260959,0.001670915,0.009409787,0.020947557,5.250819162,0.025891825,6.938801208,1
creek.jpg,0,225,0.000257396,0.001651981,0.009668008,0.020750032,5.17130631,0.02559158,7.031943531,1
creek.jpg,0,230,0.000255167,0.00164466,0.010283073,0.021055087,5.475223514,0.026534125,7.369277924,1
creek.jpg,0,235,0.000253054,0.001636352,0.010485108,0.021136349,5.60175765,0.026184128,7.167606142,1
creek.jpg,0,240,0.000252275,0.00163666,0.010595037,0.021287634,5.651470402,0.027084771,7.702752688,1
creek.jpg,0,245,0.000251789,0.001639776,0.010901397,0.021270189,5.560884025,0.026586627,7.473303327,1
creek.jpg,0,250,0.000253229,0.001657763,0.010971405,0.021506537,5.798541869,0.026975679,7.582871392,1
creek.jpg,0,255,0.000254851,0.001675989,0.010903446,0.021055195,5.595190119,0.026968462,7.513209598,1
creek.jpg,0,260,0.000255666,0.001686142,0.010937759,0.020913235,5.609745913,0.026755123,7.540318803,1
creek.jpg,0,265,0.000255885,0.001689385,0.010949983,0.02113003,5.621681708,0.02677318,7.681497894,1
creek.jpg,0,270,0.000255271,0.001684369,0.010882783,0.020706859,5.464410887,0.026071863,7.792275646,1
creek.jpg,0,275,0.000254817,0.001683397,0.010970284,0.021228885,5.875449498,0.025114816,7.778551945,1
creek.jpg,0,280,0.000255769,0.001693908,0.011524302,0.021853237,6.007067697,0.025494121,7.997481369,1
creek.jpg,0,285,0.000257294,0.001708641,0.011589361,0.021995245,5.990358366,0.025848252,8.321697561,1
creek.jpg,0,290,0.000258528,0.001719572,0.011865321,0.022180246,6.154900847,0.025559871,8.615292226,1
creek.jpg,0,295,0.000261892,0.001745385,0.012432676,0.022860023,6.51256623,0.02684183,8.825662242,1
creek.jpg,0,300,0.000262838,0.001757489,0.012559403,0.023143262,6.577727293,0.026578865,8.979348765,1
creek.jpg,0,305,0.000263902,0.001772912,0.012625089,0.023578455,6.758726401,0.027040981,9.189201978,1
creek.jpg,0,310,0.000265407,0.001790781,0.013185878,0.023798727,6.92603186,0.027434199,9.468514885,1
creek.jpg,0,315,0.000268062,0.001812838,0.013565779,0.024197095,7.126220238,0.027971443,9.463936785,1
creek.jpg,0,320,0.000270351,0.001829608,0.013801976,0.024312293,7.107512634,0.028454057,10.05647353,1
creek.jpg,0,325,0.00027378,0.001852785,0.014165306,0.024725321,7.132823484,0.028948343,10.13310401,1
creek.jpg,0,330,0.00027718,0.001876688,0.014143667,0.025059397,7.127471556,0.029028626,10.08462184,1
creek.jpg,0,335,0.000281144,0.001907808,0.014021598,0.025016804,7.007249297,0.030003125,10.19202888,1
creek.jpg,0,340,0.00028344,0.001926206,0.013768654,0.024759918,6.963780021,0.029140987,10.09259094,1
creek.jpg,0,345,0.000286765,0.001950232,0.014361434,0.024727389,7.094452456,0.029594059,10.56817886,1
creek.jpg,0,350,0.000288767,0.001966514,0.013921884,0.024632766,6.996018073,0.029517528,10.71432439,1
creek.jpg,0,355,0.000290383,0.001982773,0.014033134,0.024668536,6.959859536,0.029991328,10.89053912,1
creek.jpg,0,360,0.000292268,0.002003427,0.014966067,0.025528243,7.46799656,0.031532121,11.45754708,1
creek.jpg,0,365,0.000292183,0.002011729,0.014613353,0.025267241,7.266759556,0.032033019,11.63070575,1
creek.jpg,0,370,0.000293352,0.002028516,0.01475385,0.025518421,7.285040524,0.033348024,12.24265455,1
creek.jpg,0,375,0.000295435,0.002051344,0.015551399,0.025568618,7.514368648,0.03384445,12.95350858,1
creek.jpg,0,380,0.000299037,0.002080738,0.015371337,0.025921802,7.38253371,0.033705343,12.38687726,1
creek.jpg,0,385,0.000302356,0.002105655,0.015654087,0.026414664,7.614447282,0.033576079,12.6915829,1
creek.jpg,0,390,0.000307207,0.00214239,0.015526477,0.026757541,7.493651311,0.034519079,12.8216837,1
creek.jpg,0,395,0.000309063,0.0021569,0.015456844,0.026843312,7.671520173,0.034107917,12.50698296,1
creek.jpg,0,400,0.00030965,0.002162306,0.01515398,0.027223345,7.702437296,0.034939853,12.92098792,1
creek.jpg,0,405,0.000309524,0.002161557,0.014513026,0.027120578,7.699222341,0.034037065,12.50721771,1
creek.jpg,0,410,0.000308465,0.002153701,0.014126198,0.02673593,7.266484874,0.033544872,12.10954377,1
creek.jpg,0,415,0.000307818,0.002150009,0.013600324,0.026473351,7.349897325,0.033790804,12.18333964,1
