Picture,X_center,Y_center,Brightness,Contrast,FM,VerticalContrast,VerticalFM,HorizontalContrast,HorizontalFM
moun_tains.jpg,0,0,0.00010288517688854259,0.0011654021675917671,0.0011532758647403306,0.009096494486558642,0.2733550550566982,0.014631138948239308,0.6237802049088635,
moun_tains.jpg,0,5,0.00010789314045270871,0.0011775587701804684,0.0012358881269531898,0.009187534845167492,0.2993044621385911,0.014626199562456529,0.6693239939507936,
moun_tains.jpg,0,10,0.00011305435544639448,0.0011918547263968288,0.0013031757219963513,0.009321777724036329,0.33038123741960634,0.014398235708942046,0.6865891038272062,
moun_tains.jpg,0,15,0.00011851590629082057,0.0012109223564054064,0.0014283697420695888,0.009550202650047452,0.36279616180698987,0.014522567075970438,0.7576541653013428,
moun_tains.jpg,0,20,0.0001241770659170707,0.0012329022407983601,0.0015107291392340428,0.009690438128095905,0.39258302140213364,0.014496402727799087,0.8036627427079972,
moun_tains.jpg,0,25,0.00013010028616674548,0.0012582208339441726,0.0016574074325225248,0.00988698975012909,0.4364913270255874,0.014604149520030656,0.87317168287913,
moun_tains.jpg,0,30,0.00013628620721865188,0.0012862906737473865,0.0017847053632014474,0.010075099750775949,0.4749290705895699,0.014597094556692634,0.9084075602940739,
moun_tains.jpg,0,35,0.00014271910413703176,0.0013166428089365725,0.0018919084371509017,0.010318757424835349,0.5135166261707494,0.01465920370788943,0.958215522122494,
moun_tains.jpg,0,40,0.00014945323687012868,0.0013498807599827297,0.0020547047623945083,0.01058587732861773,0.567089672511917,0.01480819715313775,1.0348943927309053,
moun_tains.jpg,0,45,0.00015649842703713363,0.0013859731524666092,0.00222336227676576,0.010828670385822265,0.6174719350048168,0.014939562855863312,1.1040499244771838,
moun_tains.jpg,0,50,0.00016400469168971008,0.001426608268598953,0.0024133241307748073,0.011190618155166929,0.6872280184416911,0.015180141403948121,1.173753327278028,
moun_tains.jpg,0,55,0.00017203562515199412,0.001472310336154504,0.0025988523415624402,0.011592839259402528,0.752953446155544,0.015540659907244049,1.259319373316804,
moun_tains.jpg,0,60,0.0001806220241611531,0.0015231270735587131,0.002807237301335835,0.011963517594370084,0.8167414686246159,0.01589507600041171,1.3597062172928456,
moun_tains.jpg,0,65,0.0001899585094675125,0.0015809005387474482,0.003110571205658915,0.012415737758535201,0.902172645307274,0.01642394561096169,1.5134536632399833,
moun_tains.jpg,0,70,0.00020042717465171592,0.0016497554277754313,0.0034653345005507615,0.013005701067916245,1.0094542008376708,0.01714316589052896,1.6964659786006173,
moun_tains.jpg,0,75,0.00021326238002357433,0.0017428659136066028,0.004043989225238442,0.013830823376225756,1.1481630323635994,0.018837181634768604,2.043620942291525,
moun_tains.jpg,0,80,0.00022782939913560844,0.0018511386447589175,0.004238930342086092,0.014569483544527428,1.255948549922404,0.019298925958869256,1.993098928917411,
moun_tains.jpg,0,85,0.00024208014425235744,0.0019526189225984136,0.004456060727183087,0.015369203400730934,1.3923107439505933,0.019337840661069285,2.059448565739909,
